title,artist,link
Untitled (Unknown),Margaret Clyde Untitled ,https://collections.ed.ac.uk/art/record/21628?highlight=*:*
Singer (JAN 1987),Paul Rooney Singer ,https://collections.ed.ac.uk/art/record/21841?highlight=*:*
Female Nude (1924),Henry Moore Female Nude ,https://collections.ed.ac.uk/art/record/53472?highlight=*:*
Seated Female Nude wearing Floral Hat (1962),June M. Morgan Seated Female Nude wearing Floral Hat ,https://collections.ed.ac.uk/art/record/99354?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21853?highlight=*:*
Standing Woman,John Bellany Standing Woman,https://collections.ed.ac.uk/art/record/20766?highlight=*:*
Untitled (Unknown),David Giblin Untitled ,https://collections.ed.ac.uk/art/record/21635?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice Craigleith Island July ',https://collections.ed.ac.uk/art/record/99415?highlight=*:*
Tskihrva (Unknown),Boris Bu,https://collections.ed.ac.uk/art/record/22043?highlight=*:*
Seated Nude at Washbasin (1963),Kathleen B. Russell Seated Nude at Washbasin ,https://collections.ed.ac.uk/art/record/122786?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53721?highlight=*:*
Colourful Landscape with Monoliths (1959),Jacqueline A N Stieger Colourful Landscape with Monoliths ,https://collections.ed.ac.uk/art/record/20824?highlight=*:*
Hairy Veg (2016),Eden Hawkins Hairy Veg ,https://collections.ed.ac.uk/art/record/99266?highlight=*:*
Legless Graham (Unknown),Jennifer Blake Legless Graham ,https://collections.ed.ac.uk/art/record/21997?highlight=*:*
Standing Female Nude (1964),Kirkland Main Standing Female Nude ,https://collections.ed.ac.uk/art/record/21167?highlight=*:*
Untitled (1954),Ian Hodkinson Untitled ,https://collections.ed.ac.uk/art/record/111041?highlight=*:*
Riders: Parthenon Frieze (1836-1837),Riders,https://collections.ed.ac.uk/art/record/20706?highlight=*:*
Cow,Emma Gillies Cow,https://collections.ed.ac.uk/art/record/53757?highlight=*:*
Untitled - Bird Cage (1965-1966),Norman Orr Untitled - Bird Cage ,https://collections.ed.ac.uk/art/record/99407?highlight=*:*
Ravenscraig Castle (1953),Ian J. D. Short Ravenscraig Castle ,https://collections.ed.ac.uk/art/record/122775?highlight=*:*
Distortion 2 (2014),Ainsley Francis Distortion ,https://collections.ed.ac.uk/art/record/47453?highlight=*:*
Untitled (Unknown),Marjorie Ann Untitled ,https://collections.ed.ac.uk/art/record/99907?highlight=*:*
Unknown (1960),Denness Morton Unknown ,https://collections.ed.ac.uk/art/record/53547?highlight=*:*
Cotton Wool Brain (2019),Zuzana Ullmannov,https://collections.ed.ac.uk/art/record/113744?highlight=*:*
Portrait of a Man (1959),Alan Kemp Portrait of a Man ,https://collections.ed.ac.uk/art/record/20902?highlight=*:*
Harbour (1953-1954),Alistair M Park Harbour ,https://collections.ed.ac.uk/art/record/21348?highlight=*:*
Embroidered cloth,Winsome Douglass Embroidered cloth,https://collections.ed.ac.uk/art/record/113836?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),Riders from South Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20718?highlight=*:*
Back of Woman wearing Long Dress with Bustle (1955-1956),Jacqueline A N Stieger Back of Woman wearing Long Dress with Bustle ,https://collections.ed.ac.uk/art/record/20822?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21076?highlight=*:*
Unknown (1947),Thomas M. B. Watt Unknown ,https://collections.ed.ac.uk/art/record/50575?highlight=*:*
